
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 168.01
131072                 95.29
262144                225.70
524288                577.60
1048576              2429.61
2097152              6465.35
4194304             13210.88
8388608             24286.56
16777216            47584.86
33554432            94817.08
67108864           188702.38
134217728          399787.65
268435456          798678.19
