
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  58.33
131072                137.84
262144                202.18
524288                577.32
1048576              2373.78
2097152              7110.00
4194304             13202.20
8388608             23624.00
16777216            47912.37
33554432            96064.29
67108864           192257.26
134217728          409323.45
268435456          817713.15
