
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 119.73
131072                207.77
262144                224.74
524288                586.77
1048576              2459.61
2097152              6365.27
4194304             13426.38
8388608             23423.82
16777216            47308.14
33554432            94396.15
67108864           188707.28
134217728          399368.58
268435456          800619.73
