
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  54.82
131072                 87.08
262144                176.70
524288                592.61
1048576              1994.27
2097152              5588.98
4194304             12656.86
8388608             22777.16
16777216            46346.98
33554432            92489.72
67108864           184004.63
134217728          391189.08
268435456          782537.31
