
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  42.89
131072                 69.32
262144                140.39
524288                346.25
1048576              1830.28
2097152              5736.06
4194304             12613.50
8388608             23009.80
16777216            47913.98
33554432            95440.72
67108864           190884.34
134217728          406420.97
268435456          803807.22
