
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  35.66
131072                 65.07
262144                103.57
524288                323.95
1048576              1858.42
2097152              5831.54
4194304             12786.27
8388608             23049.46
16777216            47401.48
33554432            95881.06
67108864           191153.89
134217728          402047.30
268435456          804029.10
