
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  81.74
131072                150.39
262144                260.41
524288                423.42
1048576              2076.38
2097152              6059.76
4194304             12634.32
8388608             22643.37
16777216            47446.06
33554432            93833.47
67108864           188162.74
134217728          399496.20
268435456          790135.95
