
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  39.76
131072                 61.68
262144                 92.83
524288                339.63
1048576              2010.00
2097152              5597.65
4194304             12464.07
8388608             23133.97
16777216            47342.95
33554432            94204.82
67108864           189110.67
134217728          396647.89
268435456          790352.52
