
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  31.21
131072                 59.49
262144                273.42
524288                424.75
1048576              2067.48
2097152              5997.56
4194304             12562.84
8388608             22315.37
16777216            46001.76
33554432            93257.07
67108864           184906.33
134217728          389633.54
268435456          776514.78
