
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  68.59
131072                138.63
262144                219.87
524288                605.05
1048576              2193.52
2097152              5961.76
4194304             13192.49
8388608             23811.71
16777216            48563.00
33554432            95766.23
67108864           191257.41
134217728          407652.87
268435456          814053.82
