
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 121.90
131072                157.87
262144                194.74
524288                404.06
1048576              2164.69
2097152              6002.46
4194304             12671.51
8388608             23557.53
16777216            46114.55
33554432            92592.08
67108864           184604.35
134217728          389989.01
268435456          773715.48
