
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  30.37
131072                134.64
262144                185.97
524288                428.36
1048576              1968.96
2097152              5985.49
4194304             12433.54
8388608             22708.01
16777216            47223.09
33554432            94006.48
67108864           186557.73
134217728          394536.63
268435456          782539.04
