
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 122.58
131072                240.75
262144                558.15
524288               1313.61
1048576              1841.92
2097152              3615.69
4194304              7129.51
8388608             14210.65
16777216            30020.17
33554432            56842.06
67108864           115592.49
134217728          230475.53
268435456          462784.04
