
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  61.57
131072                119.17
262144                216.24
524288                632.55
1048576              1139.31
2097152              2337.78
4194304              4666.05
8388608              9220.64
16777216            23611.31
33554432            58342.77
67108864           114105.76
134217728          230274.60
268435456          463513.77
