
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 123.35
131072                235.61
262144                565.72
524288               1320.26
1048576              1814.31
2097152              3556.12
4194304              8588.84
8388608             14053.15
16777216            28081.99
33554432            56083.92
67108864           113626.35
134217728          227419.46
268435456          453035.81
