
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 121.87
131072                239.91
262144                429.44
524288               1129.95
1048576              1857.75
2097152              3656.77
4194304              7309.06
8388608             14525.27
16777216            29084.63
33554432            59666.93
67108864           116260.27
134217728          234777.74
268435456          472606.63
