
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  61.37
131072                117.25
262144                275.21
524288                566.76
1048576              1222.76
2097152              2442.39
4194304              4891.37
8388608              9725.07
16777216            19899.22
33554432            38231.33
67108864           115506.82
134217728          238242.66
268435456          477771.32
