
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  61.11
131072                120.75
262144                286.91
524288                567.79
1048576              1203.65
2097152              2466.12
4194304              5639.50
8388608              9740.34
16777216            23641.43
33554432            57185.33
67108864           115993.55
134217728          232798.74
268435456          465119.56
