
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  86.69
131072                172.75
262144                396.42
524288                943.20
1048576              1771.08
2097152              3307.05
4194304              6671.07
8388608             13120.91
16777216            37348.35
33554432            90102.49
67108864           179048.84
134217728          360021.44
268435456          719227.31
