
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 116.91
131072                230.13
262144                432.87
524288               1030.62
1048576              2063.69
2097152              4227.07
4194304              8476.06
8388608             21416.04
16777216            61375.09
33554432           119186.57
67108864           240335.36
134217728          482760.22
268435456          969250.25
