
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                  71.74
131072                141.82
262144                323.66
524288                809.48
1048576              1350.33
2097152              2783.41
4194304              5508.75
8388608             10910.65
16777216            27256.23
33554432            71888.85
67108864           142722.51
134217728          286036.52
268435456          571691.29
