
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 123.64
131072                235.67
262144                538.34
524288               1021.84
1048576              1890.41
2097152              3806.87
4194304              8497.70
8388608             14251.85
16777216            27887.52
33554432            55761.50
67108864           113174.39
134217728          226425.47
268435456          454440.28
