
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
 yhccl_contexts::init
65536                 124.81
131072                251.29
262144                572.13
524288               1061.55
1048576              1876.73
2097152              3667.47
4194304              7254.43
8388608             14448.45
16777216            28467.86
33554432            58563.22
67108864           114072.52
134217728          231770.69
268435456          468500.38
